p_name,p_phone_number,p_address,role
Grace Reynolds MD,068.872.9652x10133,"70934 Brown Plains Suite 546
West Heatherfort, MS 00623",customer
Fernando Bowen,5227029085,"4125 Kimberly Canyon
West Hannah, MO 43363",customer
Elaine Holland,+1-505-372-1976x9937,"590 Allen Grove Apt. 634
Stevenborough, MI 60646",marketing_lead
Kevin Butler,001-913-995-2113x9539,"069 Gomez Stream Apt. 893
Port Brianville, DE 91042",marketing_lead
Cameron Garcia,001-373-604-1634x1830,"15909 Parker Burgs Suite 536
Jasonport, NJ 49743",store_staff
Elizabeth Sanchez,521-548-3578,"3660 Frank Garden Apt. 189
Port Jacob, ID 93872",store_staff
Katherine Miller,+1-879-789-4037x4841,"86265 Howe Drive Apt. 926
Mcmillanshire, VT 00505",marketing_lead
Diane Fernandez,(766)841-0278x16326,"588 Lauren Field
Gregoryfort, MA 87362",marketing_lead
Donald Avila,(220)891-4760x2036,"985 Susan Fall
Rogersfort, ME 95546",customer
Michelle Savage,001-907-254-1865x56187,"USS Reed
FPO AP 96523",customer
Stephen Wade,(988)449-3149x63372,"855 Franklin Parks Suite 047
Lawrenceport, DE 44297",store_staff
Michael Hopkins,938.635.3322,"22117 Murphy Groves Apt. 001
West Madelinemouth, MO 81234",marketing_lead
Thomas Velasquez,517.342.0498x091,"450 Bryan Road
North Timothy, NE 16313",store_staff
Daniel Brown,001-777-024-6075,"70644 Young Overpass
Stevenborough, MD 26916",store_staff
Jennifer Jackson,001-786-958-5859x35354,"0406 Rivera Roads Apt. 220
Masseyfurt, HI 86927",customer
Dean Reyes,+1-602-627-1383x818,"25451 Chan Station
Cherylville, AL 82267",marketing_lead
Jamie Ochoa,(604)544-3826,"5409 Adams Route Suite 594
Jacksonport, IA 34660",customer
Adam Kerr,+1-076-187-3664x2214,"9056 Brenda Village
Jamiehaven, MS 17465",store_staff
Roger Hall,001-062-229-1711x0869,"5051 Humphrey Village Apt. 849
West Eileen, AZ 34903",store_staff
Nicole Curtis,(385)049-3347,"196 Phillips Burgs Apt. 114
Matthewfurt, IL 30158",marketing_lead
Marisa Smith,001-357-814-6186x5737,"61890 Amy Cove Apt. 878
Lake Lori, KY 52588",marketing_lead
Carolyn Cole,(797)787-4148x4319,"550 Ricky Island Apt. 949
Everettside, MS 42149",customer
